Processes,Input Size,Total Computation,Total Gathering,Individual Data Ingestion Min,Individual Data Ingestion Max,Individual Data Ingestion Avg,Individual Computation Min,Individual Computation Max,Individual Computation Avg
8,2560,0.018464,0.001441,0.000298,0.000784,0.000572,0.016502,0.026303,0.021472
16,2560,0.021499,0.000121,0.000331,0.001773,0.001059,0.020780,0.025297,0.023215
32,2560,0.036064,0.002415,0.000210,0.001047,0.000591,0.026925,0.039768,0.034338
64,2560,0.027976,0.005054,0.000203,0.001058,0.000615,0.000375,0.027824,0.012690
128,2560,2.399843,0.399064,0.000071,0.013561,0.003610,1.995127,2.386615,2.254227
256,2560,7.277906,1.094420,0.000069,0.032546,0.006298,6.066359,7.220978,6.610370
8,25600,0.041080,0.001418,0.018960,0.029528,0.023923,0.011574,0.028401,0.020059
16,25600,0.029602,0.001060,0.011914,0.026333,0.018024,0.007079,0.016477,0.013467
32,25600,0.042826,0.002745,0.000076,0.005662,0.001494,0.029864,0.047641,0.040439
64,25600,0.036758,0.017856,0.000075,0.002055,0.000634,0.002315,0.030085,0.016976
128,25600,2.542970,0.319343,0.000070,0.016777,0.003426,1.864634,2.516306,2.254442
256,25600,6.115813,0.970771,0.000070,0.036509,0.009078,5.144963,6.048502,5.570926
8,256000,0.034171,0.004526,0.003073,0.013354,0.009336,0.026502,0.028551,0.027980
16,256000,0.037383,0.003648,0.000434,0.001254,0.000783,0.033227,0.039492,0.037459
32,256000,0.055820,0.002102,0.000457,0.005842,0.001278,0.038538,0.061750,0.052459
64,256000,0.037257,0.004148,0.000396,0.002141,0.000850,0.020445,0.048792,0.035234
128,256000,2.517150,0.686608,0.000077,0.017656,0.004199,1.785047,2.483449,2.194766
256,256000,6.982023,0.622527,0.000062,0.041843,0.008154,5.230739,7.020274,5.970601
8,2560000,0.208455,0.025005,0.001228,0.003647,0.002911,0.182136,0.209712,0.201681
16,2560000,0.204022,0.014725,0.001151,0.002933,0.001981,0.184765,0.210914,0.201208
32,2560000,0.305008,0.008984,0.001446,0.131566,0.031748,0.170242,0.298762,0.266871
64,2560000,0.214027,0.009486,0.000687,0.019366,0.003520,0.166511,0.208586,0.193000
128,2560000,2.437537,0.415781,0.000361,0.017659,0.004828,2.018716,2.453539,2.237479
256,2560000,7.704524,1.021554,0.000395,0.042147,0.010942,6.297206,7.649504,6.825395
